ID,Activity,Time stamp,Feed back
1.0,開始,2023-01-02 22:58:06.370316,
1.0,終了,2023-01-02 23:30:06.233326,ウィルコクソンの順位和検定の導入を検討しました。二つのデータに有意差があるかの検定です。
3.0,開始,2023-01-15 09:43:16.799429,
3.0,終了,2023-01-15 11:27:23.115467,prediction builderのリファレンスを熟読しました。すごい機能だと思います。少しずつ実装してみようと思います。
5.0,開始,2023-01-15 22:34:02.742082,
5.0,終了,2023-01-15 23:55:57.755189,運用開始日予測のモデルをいじりました。学習データを2021年以前、テストデータを2021年以降にして動かすと発散しました。モデルが高精度になっていた要因は欠損除去によりデータ数が大きく減って過学習が強くなったためだと思われます。
7.0,開始,2023-01-17 15:15:13.606004,
7.0,終了,2023-01-17 20:32:12.602459,欠損値が多すぎると気づいたので欠損値があっても大丈夫なlightgbmで実装してみました。いろいろなコーディングに関しての発見がありました。
9.0,開始,2023-01-22 11:32:23.734573,
9.0,終了,2023-01-22 13:04:50.787123,prediction builderの実施をしようと思いました。リファレンスを熟読してから実行に移しましたが、なぜがcelonisのMLが開ませんでした...
11.0,開始,2023-01-23 14:41:38.250974,
11.0,終了,2023-01-23 16:12:13.894694,prediction builderを構築してみました。今までやってきた工数予測とは異なり、プロセスを重視した予測みたいです。最初のフィルターの部分でテーブルが存在しない、とエラーが返されたのでその対処法を模索したいと思います。
13.0,開始,2023-01-25 10:46:55.485788,
13.0,終了,2023-01-25 11:42:25.604432,prediction builderをいじりました。activity tableで詳細工程テーブルを指定してもエラーが返ってくる件に対応しましたが、解決しませんでした。
15.0,開始,2023-01-28 15:51:31.927083,
15.0,終了,2023-01-28 17:02:18.516728,prediction bulderを進めました。以前のエラーは解消できましたが、目的変数の調達に苦戦しています。IZANAGIの時のコードを参考に解決に努めたいと思います。
17.0,開始,2023-01-30 19:34:14.800284,
17.0,終了,2023-01-30 21:35:57.448166,prediction builderを進めました。一通り動作はしたので次に結果の吟味をしたいと思います。
19.0,開始,2023-01-31 09:13:31.793105,
19.0,終了,2023-01-31 11:27:49.371787,prediction builderの結果を読み解きました。またいくつかパラメータを調整しました。
